example_id,customer_tweet_id,customer_text,annotator_label,predicted_intent,classifier_confidence,top_retrieval_similarity,reply_status,reply_text,escalation_decision,escalation_reason_code,escalation_reason
GS-0001,1305196,@AppleSupport I have iPhone 7 but when I opens the App Store show me this message and I wanna to make the upgrade for the new phone from the app https://t.co/KzHyHDTBbf,app_store_issue,howto_or_feature,0.2881489692523939,0.2895923949436643,dm_redirect,"Thanks for writing in about howto or feature. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share your device model and software version? Once we have that, a specialist can take the next step with you.",escalate,low_classifier_confidence,Classifier confidence (0.2881) is below required threshold (0.6500).
GS-0002,904706,"Ok someone @115858 doesn't like me... First my Mac, then my iPad Pro and now my #AppleWatch has died. Won't take a charge at all. 😡",charging_issue,charging_issue,0.6832572291404468,0.230411531765075,dm_redirect,"Thanks for writing in about charging issue. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share your device model and software version? Once we have that, a specialist can take the next step with you.",escalate,insufficient_retrieval_evidence,Top retrieval similarity (0.2304) is below required threshold (0.3000) or no evidence returned.
GS-0003,168895,"Ever since I updated my phone, it’s been acting up. @AppleSupport I will sue you guys.",software_update_issue,software_update_issue,0.8031027742380544,0.5280811241491071,instructional,"Thanks for reaching out about software update issue.
Based on how similar historical cases were handled, here is what support typically suggested next:
- Go to Settings &gt; General &gt; About for the version.
Also helpful to confirm: Which iOS 11 version are you currently running?
If this still does not resolve it, similar cases were often moved to DM for closer help.",auto_handle,high_confidence_supported_case,"High confidence classification, strong retrieval similarity, and instructional reply support automated response."
GS-0004,436977,@AppleSupport Sluggishness.  Already did a proper diagnostic recently. How do I downgrade ?,software_update_issue,howto_or_feature,0.627551010903982,0.3301323388779777,dm_redirect,"Thanks for writing in about howto or feature. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share your device model and software version? Once we have that, a specialist can take the next step with you.",escalate,low_classifier_confidence,Classifier confidence (0.6276) is below required threshold (0.6500).
GS-0005,2780696,"@115948 I am unable to subscribe to your services due to your partners @260711 and their untrained and illogical customer ""support"" team. @AppleSupport can you help or I have to use @115888 instead.",subscription_management,account_access,0.18895904964993215,0.2545173543637125,instructional,"Thanks for reaching out about account access.
Based on how similar historical cases were handled, here is what support typically suggested next:
- Check here: https://t.co/tmRhWEkIq4
- We'd recommend continuing to check out the link we previously provided for any updates.
If this still does not resolve it, similar cases were often moved to DM for closer help.",escalate,low_classifier_confidence,Classifier confidence (0.1890) is below required threshold (0.6500).
GS-0006,2143948,Yo i did the keyboard shit and that dumb ass ? Shit still popping up. I want my money back @115858 or give me the X and we call it even.,payment_or_refund,payment_or_refund,0.4559018466846302,0.28624870076070597,instructional,"Thanks for reaching out about payment or refund.
Based on how similar historical cases were handled, here is what support typically suggested next:
- Check out this article for the steps: https://t.co/ahjigcvFRG
Also helpful to confirm: Send us a DM with which version of iOS you're using, and we'll look into this together.?
If this still does not resolve it, similar cases were often moved to DM for closer help.",escalate,low_classifier_confidence,Classifier confidence (0.4559) is below required threshold (0.6500).
GS-0007,437009,@AppleSupport I don't see my iMac in the list. Wifi and Bluetooth are on,network_connectivity,network_connectivity,0.8153210896329977,0.2961142660024461,dm_redirect,"Thanks for writing in about network connectivity. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share a bit more detail about what you are seeing? Once we have that, a specialist can take the next step with you.",escalate,insufficient_retrieval_evidence,Top retrieval similarity (0.2961) is below required threshold (0.3000) or no evidence returned.
GS-0008,2020858,Fix this PLEASE it is DRIVING EVERYONE INSANE @AppleSupport https://t.co/WvK2YfH5Y7,other_or_unclear,software_update_issue,0.2216410735789406,0.43633967878018337,dm_redirect,"Thanks for writing in about software update issue. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share your device model and software version? Once we have that, a specialist can take the next step with you.",escalate,low_classifier_confidence,Classifier confidence (0.2216) is below required threshold (0.6500).
GS-0009,1397341,"@AppleSupport Thanks for your prompt respond, i manage to update my device. However, i still find sometimes whenever i click, i hardly fire up the apps.",app_issue,software_update_issue,0.1899041831418188,0.29655575850478033,dm_redirect,"Thanks for writing in about software update issue. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share your device model and software version? Once we have that, a specialist can take the next step with you.",escalate,low_classifier_confidence,Classifier confidence (0.1899) is below required threshold (0.6500).
GS-0010,2845669,@AppleSupport I literally just got 2 iphone 8 and the speaker does not sound right on both of them 😡🤔,hardware_issue,hardware_issue,0.2845352544861004,0.26177037081518584,dm_redirect,"Thanks for writing in about hardware issue. In similar past cases, Apple Support usually continued privately over DM rather than finishing troubleshooting in public replies. Could you share a bit more detail about what you are seeing? Once we have that, a specialist can take the next step with you.",escalate,low_classifier_confidence,Classifier confidence (0.2845) is below required threshold (0.6500).
