example_id,customer_tweet_id,customer_text,annotator_label,predicted_intent,classifier_confidence,top_retrieval_similarity,reply_status,escalation_decision,relevance_score,groundedness_score,helpfulness_score,safety_score,average_score,pass_fail,serious_failure_detected,serious_failure_type,cited_evidence_ids,judge_reasoning
GS-0019,258935,"@AppleSupport I have an Apple ID, but when I try to setup two-Factor authentication, it shows +237 Cameroon but refuse all our 9-digit numbers.",account_access,account_access,0.8959027657327452,0.3050574938900494,instructional,auto_handle,2.0,4.0,2.0,5.0,3.25,FAIL,False,,1470848,"The reply provides a general link for two-factor authentication information, directly from retrieved evidence, but it misses the customer's specific country and number format issue, making it less relevant and helpful."
GS-0041,258937,@115858 @AppleSupport why is two-factor authentication not working in my region +237 Cameroon. 9digits mobile number.,account_access,account_access,0.7474923794573325,0.3680963492934043,instructional,auto_handle,2.0,4.0,2.0,5.0,3.25,FAIL,False,,"1470848,2343855","The reply provides grounded general information about 2FA but fails to address the customer's specific regional and mobile number format concerns, offering minimal direct help for their unique problem."
GS-0008,2020858,Fix this PLEASE it is DRIVING EVERYONE INSANE @AppleSupport https://t.co/WvK2YfH5Y7,other_or_unclear,other_or_unclear,0.1858602137750654,0.4363396787801833,dm_redirect,escalate,5.0,5.0,5.0,5.0,5.0,PASS,False,,"2075041,2005615","The reply perfectly addresses the vague customer query by initiating a transparent DM redirect and requesting standard diagnostic information, which is well-grounded in historical patterns for complex or unclear issues."
GS-0016,1709348,@115858 fix your shit with the damn I️,other_or_unclear,other_or_unclear,0.4014326352892869,0.6578641368552253,dm_redirect,escalate,4.0,5.0,4.0,5.0,4.5,PASS,False,,"1508057,2288600","The reply correctly initiates a DM redirect to gather necessary information, aligning with historical agent patterns for complex or unclear issues, and is transparent about the handoff."
GS-0093,1261256,"@AppleSupport I need a mail to contact URGENT to contact you, I feel cheated and I feel that anybody listen to me",other_or_unclear,app_issue,0.1381691600088586,0.3702364898806004,instructional,escalate,3.0,4.0,3.0,5.0,3.75,PASS,False,,"1462572,759076,1882009,2647178","The reply provides a contact link and suggests DM, which is helpful for the customer's request to contact Apple, but misidentifies the core problem as an 'app issue' and includes a less relevant mail app question."
GS-0001,1305196,@AppleSupport I have iPhone 7 but when I opens the App Store show me this message and I wanna to make the upgrade for the new phone from the app https://t.co/KzHyHDTBbf,app_store_issue,app_store_issue,0.3708266972607062,0.2895923949436643,dm_redirect,escalate,4.0,5.0,4.0,5.0,4.5,PASS,False,,"599073,1887724,1406196","The reply correctly identifies the App Store issue, proposes a DM redirect consistent with historical patterns, and asks for relevant initial diagnostic information safely."
GS-0060,1149744,"@AppleSupport When I launch appstore it asks me to review my acc, but when I press review I get a blank page. Tried on PC too.",app_store_issue,account_access,0.1397845039670744,0.2294004848356652,dm_redirect,escalate,,,,,,API_RATE_LIMITED,False,,,Gemini API rate limit (HTTP 429) encountered. Not judged.
GS-0002,904706,"Ok someone @115858 doesn't like me... First my Mac, then my iPad Pro and now my #AppleWatch has died. Won't take a charge at all. 😡",charging_issue,charging_issue,0.4021752100840969,0.230411531765075,dm_redirect,escalate,,,,,,API_RATE_LIMITED,False,,,Gemini API rate limit (HTTP 429) encountered. Not judged.
GS-0077,1291200,"Dear @115858, I used one app on my iPhone 7 for about 10min since 10am when it finished charging. It’s 3:00 &amp; my battery is at 26%. I call that ridiculous, don’t you? #FixYourBatteryIssues",battery_drain,battery_drain,0.3086173280758271,0.1688774101580973,dm_redirect,escalate,,,,,,API_RATE_LIMITED,False,,,Gemini API rate limit (HTTP 429) encountered. Not judged.
GS-0143,709505,"@AppleSupport New podcasts update without a problem, the issue is if I listen say 50% on iOS it doesn't show that as being listened to on iTunes, etc.",app_issue,software_update_issue,0.3028614772509881,0.1715081162614219,instructional,escalate,,,,,,API_RATE_LIMITED,False,,,Gemini API rate limit (HTTP 429) encountered. Not judged.
