example_id,customer_tweet_id,agent_tweet_id,customer_text,agent_text,proposed_intent,annotator_label,annotator_notes
GS-0001,1305196,1305198,@AppleSupport I have iPhone 7 but when I opens the App Store show me this message and I wanna to make the upgrade for the new phone from the app https://t.co/KzHyHDTBbf,@424988 We'd like to look into this further. Please DM us to continue working on this. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: app_store_issue,app_store_issue,
GS-0002,904706,904704,"Ok someone @115858 doesn't like me... First my Mac, then my iPad Pro and now my #AppleWatch has died. Won't take a charge at all. 😡",@125534 We'll be glad to assist you with these issues. Please send us a DM and we'll investigate this together. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: charging_issue,charging_issue,
GS-0003,168895,168894,"Ever since I updated my phone, it’s been acting up. @AppleSupport I will sue you guys.",@155300 We want to help you out. Send us a DM and let us know what iPhone and version of iOS you are running. https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: software_update_issue,software_update_issue,
GS-0004,436977,436979,@AppleSupport Sluggishness.  Already did a proper diagnostic recently. How do I downgrade ?,"@218772 So that we can look into this further, can you DM us which iOS version you're currently on? https://t.co/GDrqU22YpT",MACHINE_CANDIDATE: howto_or_feature,software_update_issue,
GS-0005,2780696,2780695,"@115948 I am unable to subscribe to your services due to your partners @260711 and their untrained and illogical customer ""support"" team. @AppleSupport can you help or I have to use @115888 instead.","@776622 We are not able to help out with this over Twitter, but reach out to our iTunes Store support via the following link and they can advise you on options from there: https://t.co/SDIe7UiyJN https://t.co/GDrqU22YpT",MACHINE_CANDIDATE: subscription_management,subscription_management,
GS-0006,2143948,2143947,Yo i did the keyboard shit and that dumb ass ? Shit still popping up. I want my money back @115858 or give me the X and we call it even.,"@630345 If the work around is not working, keep an eye out for a future software update that will address this.",MACHINE_CANDIDATE: payment_or_refund,payment_or_refund,
GS-0007,437009,437007,@AppleSupport I don't see my iMac in the list. Wifi and Bluetooth are on,@218780 Thanks for that info. Which iMac do you have and what version of macOS are you running on it?,MACHINE_CANDIDATE: network_connectivity,network_connectivity,
GS-0008,2020858,2020857,Fix this PLEASE it is DRIVING EVERYONE INSANE @AppleSupport https://t.co/WvK2YfH5Y7,@597640 Hey Alex. Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT,MACHINE_CANDIDATE: other_or_unclear,other_or_unclear,
GS-0009,1397341,1397343,"@AppleSupport Thanks for your prompt respond, i manage to update my device. However, i still find sometimes whenever i click, i hardly fire up the apps.","@444943 We'll do all we can to help with both your iPhone and Mac. Let us know what country you're in via DM, we'll continue there: https://t.co/GDrqU22YpT",MACHINE_CANDIDATE: other_or_unclear,app_issue,
GS-0010,2845669,2845667,@AppleSupport I literally just got 2 iphone 8 and the speaker does not sound right on both of them 😡🤔,"@791518 Let's look into this together! To start, can you tell us more about what's happening? For example, do you hear static, crackling, etc?",MACHINE_CANDIDATE: hardware_issue,hardware_issue,
